================ SAMPLE PHASE: D-clean: ACKS OFF + BACKPRESSURE (empty buffer)  (pod=collector-99wtz) ================
t(s)      read_ev/s      delivered/s    buf_events     buf_bytes       
0         0.0            0.0            0              0               
18        0.0            0.0            42289          81089024        
36        1001.2         0.0            67996          131327504       
54        620.2          0.0            69520          134203056       
72        118.4          0.0            69520          134203056       
90        0.0            0.0            69520          134203056       
108       0.0            0.0            69520          134203056       
126       0.0            0.0            69520          134203056       
144       0.0            0.0            69520          134203056       
162       0.0            0.0            69520          134203056       
180       0.0            0.0            69520          134203056       
