================ SAMPLE PHASE: C-clean: ACKS ON + BACKPRESSURE (empty buffer)  (pod=collector-npt88) ================
t(s)      read_ev/s      delivered/s    buf_events     buf_bytes       
0         0.0            0.0            0              0               
18        0.0            0.0            70319          134171368       
36        0.0            0.0            70319          134171368       
54        0.0            0.0            70319          134171368       
72        0.0            0.0            70319          134171368       
90        0.0            0.0            70319          134171368       
108       0.0            0.0            70319          134171368       
126       0.0            0.0            70319          134171368       
144       0.0            0.0            70319          134171368       
162       0.0            0.0            70319          134171368       
180       0.0            0.0            70319          134171368       
